Strategy,Avg. Baseline %HITS@N,Avg. Reform %HITS@N,% Imp. %HITS@N,Avg. Baseline MAP,Avg. Reform MAP,% Imp. MAP,Avg. Baseline MRR,Avg. Reform MRR,% Imp. MRR
OB*T_TITLE*T_S2R*CODE*EB,0.2279305897,0.2706440321,0.187396709,0.058586386,0.0926957118,0.5822056632,0.0744906485,0.1160755675,0.5582569065
BLIZZARD--TITLE*T_OTHER*CODE,0.2279305897,0.2705887625,0.1871542245,0.058586386,0.0935941786,0.5975414237,0.0744906485,0.1210132042,0.6245422306
TITLE*T_OTHER*T_S2R*T_EB,0.2279305897,0.270521557,0.1868593742,0.058586386,0.0921948187,0.5736560124,0.0744906485,0.1170685996,0.5715878706
OB*T_TITLE*T_OTHER*T_S2R*CODE*T_EB,0.2279305897,0.2703715014,0.186201035,0.058586386,0.091368997,0.5595602176,0.0744906485,0.1145045783,0.5371671557
TITLE*T_OB*T_OTHER*S2R*T_EB,0.2279305897,0.2701641415,0.1852912845,0.058586386,0.0921167963,0.5723242644,0.0744906485,0.116651697,0.56599116
TITLE*T_OTHER*EB,0.2279305897,0.2700834395,0.1849372209,0.058586386,0.0896130921,0.529589008,0.0744906485,0.1143695033,0.5353538417
BLIZZARD--OB*T_TITLE*S2R*EB,0.2279305897,0.2694962721,0.182361141,0.058586386,0.101590056,0.7340215511,0.0744906485,0.1299461801,0.7444630001
TITLE*T_OB*T_OTHER*T_S2R*EB,0.2279305897,0.2694226909,0.182038318,0.058586386,0.091994037,0.5702289074,0.0744906485,0.1161309338,0.559000172
OB*T_OTHER*S2R,0.2279305897,0.2694069841,0.1819694078,0.058586386,0.0876269822,0.4956884723,0.0744906485,0.1097340769,0.4731255421
TITLE*T_S2R*EB,0.2279305897,0.2693203839,0.1815894667,0.058586386,0.0941381371,0.6068261502,0.0744906485,0.1217688067,0.6346858188
BLIZZARD--TITLE*OB*OTHER*T_S2R*EB,0.2279305897,0.2692562415,0.1813080544,0.058586386,0.0869185256,0.483595959,0.0744906485,0.1117162664,0.499735452
BLIZZARD--TITLE*T_S2R*CODE*T_EB,0.2279305897,0.2692489543,0.1812760833,0.058586386,0.0976098918,0.6660848766,0.0744906485,0.1258150619,0.6890047879
TITLE*T_OB*S2R*T_EB,0.2279305897,0.2691978944,0.1810520683,0.058586386,0.0899267753,0.5349432076,0.0744906485,0.1129522325,0.516327684
TITLE*T_OB*T_OTHER*EB,0.2279305897,0.2690052299,0.1802067914,0.058586386,0.0904340956,0.5436025618,0.0744906485,0.1143994,0.5357551899
OB*T_OTHER*S2R*CODE*T_EB,0.2279305897,0.268806925,0.1793367681,0.058586386,0.0910853378,0.5547184931,0.0744906485,0.1139003359,0.5290555017
BLIZZARD--TITLE*CODE,0.2279305897,0.2687435748,0.1790588315,0.058586386,0.0946916398,0.6162737824,0.0744906485,0.1225237178,0.6448201255
TITLE,0.2279305897,0.2687098773,0.1789109908,0.058586386,0.0968093787,0.6524210688,0.0744906485,0.1249360607,0.6772046325
BLIZZARD--OB*S2R*CODE*EB,0.2279305897,0.2687013963,0.1788737818,0.058586386,0.0948228791,0.6185138822,0.0744906485,0.1223529418,0.642527543
OB*T_OTHER*T_S2R,0.2279305897,0.2686876663,0.1788135441,0.058586386,0.0859244291,0.4666279127,0.0744906485,0.1082243432,0.4528581157
OB*T_OTHER,0.2279305897,0.2686403579,0.1786059881,0.058586386,0.0845650757,0.4434253658,0.0744906485,0.1068039607,0.433790185
BLIZZARD--TITLE*OB*OTHER*S2R*CODE*EB,0.2279305897,0.2686289399,0.1785558941,0.058586386,0.0871402324,0.4873802301,0.0744906485,0.1109994003,0.4901118801
BLIZZARD--TITLE*OB*OTHER*T_S2R*CODE*EB,0.2279305897,0.2685718333,0.1783053502,0.058586386,0.0871008587,0.486708169,0.0744906485,0.1116011363,0.498189888
TITLE*T_OB*T_OTHER*S2R,0.2279305897,0.2685511531,0.1782146198,0.058586386,0.0905036104,0.5447890977,0.0744906485,0.1133620913,0.5218298353
TITLE*T_OB*S2R,0.2279305897,0.2684944176,0.1779657044,0.058586386,0.0890818309,0.5205210109,0.0744906485,0.1109419809,0.4893410531
TITLE*T_OTHER*T_EB,0.2279305897,0.2684810034,0.1779068521,0.058586386,0.0901144964,0.5381473827,0.0744906485,0.1148331222,0.5415776947
OB*T_TITLE*S2R*T_EB,0.2279305897,0.2684236631,0.1776552828,0.058586386,0.0894721465,0.5271832339,0.0744906485,0.1111780664,0.492510385
TITLE*T_OTHER*T_S2R,0.2279305897,0.2683431763,0.1773021633,0.058586386,0.0917037489,0.5652740359,0.0744906485,0.1163568267,0.5620326722
BLIZZARD--TITLE*OB*OTHER*S2R*EB,0.2279305897,0.2682374906,0.1768384882,0.058586386,0.0867338417,0.480443624,0.0744906485,0.1102230922,0.4796903292
OB*T_OTHER*CODE*T_EB,0.2279305897,0.2681579913,0.1764897008,0.058586386,0.0896156887,0.529633329,0.0744906485,0.1129402981,0.5161674706
BLIZZARD--OB*T_OTHER*CODE,0.2279305897,0.2681206055,0.176325678,0.058586386,0.0887769821,0.5153176036,0.0744906485,0.1136261575,0.5253747935
BLIZZARD--TITLE*T_S2R*CODE,0.2279305897,0.2680400578,0.1759722914,0.058586386,0.0969775019,0.6552907321,0.0744906485,0.1250864688,0.6792237866
OB*S2R*CODE*EB,0.2279305897,0.2679695401,0.1756629089,0.058586386,0.0929543899,0.5866209916,0.0744906485,0.115465281,0.5500641136
OB*CODE*EB,0.2279305897,0.2679097015,0.1754003788,0.058586386,0.0915288243,0.5622882803,0.0744906485,0.1145746972,0.5381084675
OB*T_TITLE*T_OTHER*S2R*CODE,0.2279305897,0.2677865025,0.1748598677,0.058586386,0.0906261175,0.5468801479,0.0744906485,0.1118454442,0.5014696005
OB*T_OTHER*T_S2R*CODE*T_EB,0.2279305897,0.2677093055,0.1745211814,0.058586386,0.0902944837,0.541219552,0.0744906485,0.1136055734,0.5250984612
OB*T_TITLE*T_OTHER*T_S2R*CODE,0.2279305897,0.2675080617,0.1736382646,0.058586386,0.0905475082,0.5455383804,0.0744906485,0.1128264958,0.5146397315
BLIZZARD--OB*CODE*EB,0.2279305897,0.2674987645,0.1735974746,0.058586386,0.0934069251,0.5943452289,0.0744906485,0.1213846983,0.6295293546
BLIZZARD,0.2279305897,0.2674647014,0.1734480298,0.058586386,0.0861313725,0.470160191,0.0744906485,0.10925567,0.4667031662
